Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การโฆษณาหรือการตลาด
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การกำหนดค่าส่วนบุคคล
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงรวบรวมข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การจัดการบัญชี
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / ฟังก์ชันการทำงานของแอป
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การวิเคราะห์
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การสื่อสารจากนักพัฒนาแอป
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การป้องกันการประพฤติมิชอบ การรักษาความปลอดภัย และการปฏิบัติตามข้อกำหนด
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การโฆษณาหรือการตลาด
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การกำหนดค่าส่วนบุคคล
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,การใช้และการจัดการข้อมูล (ที่อยู่อีเมล) / ทำไมจึงแชร์ข้อมูลผู้ใช้นี้ เลือกได้มากกว่า 1 ข้อ / การจัดการบัญชี
